COUNTRY	GNP	INFD	PHYS	DENS										
Australia	1316.00	19.50	806.00	1.00										
Austria	670.00	37.50	695.00	84.00										
Barbados	200.00	60.40	3000.00	548.00										
Belgium	1196.00	35.40	819.00	301.00										
Brit_Guiana	235.00	67.10	3900.00	3.00										
BuIgaria	365.00	45.10	740.00	72.00										
Canada	1947.00	27.30	900.00	2.00										
Chile	379.00	127.90	1700.00	11.00										
Costa_Rica	357.00	78.90	2600.00	24.00										
Cyprus	467.00	29.90	1400.00	62.00										
Czechoslovakia	680.00	31.00	620.00	108.00										
Denmark	1057.00	23.70	830.00	107.00										
El_Salvador	219.00	76.30	5400.00	127.00										
Finland	794.00	21.00	1600.00	13.00										
France	943.00	27.40	1014.00	83.00										
Guatemala	189.00	91.90	6400.00	36.00
Hong_Kong	272.00	41.50	3300.00	3082.00
Hungary	490.00	47.60	650.00	108.00
Iceland	572.00	22.40	840.00	2.00
India	73.00	225.00	5200.00	138.00
Ireland	550.00	30.50	1000.00	40.00
Italy	516.00	48.70	746.00	164.00
Jamaica	316.00	58.70	4300.00	143.00
Japan	306.00	37.70	930.00	254.00
Luxembourg	1388.00	31.50	910.00	123.00
Malaya	356.00	68.90	6400.00	54.00
Malta	377.00	38.30	980.00	1041.00
Mauritius	225.00	69.50	4500.00	352.00
Mexico	262.00	77.70	1700.00	18.00
Netherlands	836.00	16.50	900.00	346.00
New_Zealand	1310.00	22.80	700.00	9.00
Nicaragua	160.00	71.70	2800.00	10.00
Norway	1130.00	20.20	946.00	11.00
Panama	329.00	54.80	3200.00	15.00
Poland	475.00	74.70	1100.00	96.00
Portugal	224.00	77.50	1394.00	100.00
Puerto_Rico	563.00	52.40	2200.00	271.00
Romania	360.00	75.70	788.00	78.00
Singapore	400.00	32.30	2400.00	2904.00
Spain	293.00	43.50	1000.00	61.00
Sweden	1380.00	16.60	1089.00	17.00
Switzerland	1428.00	21.10	765.00	133.00
Taiwan	161.00	30.50	1500.00	305.00
Trinidad	423.00	45.40	2300.00	168.00
United_Kingdom	1189.00	24.10	935.00	217.00
United_States	2577.00	26.40	780.00	20.00
USSR	600.00	35.00	578.00	10.00
West_Germany	927.00	33.80	798.00	217.00
Yugoslavia	265.00	100.00	1637.00	73.00
